logFC,logCPM,LR,PValue,FDR,GeneID,Symbol
3.71843168189995,2.74418348429205,105.305039969594,1.04709490953298e-24,1.72354311845505e-20,9982,FGFBP1
3.44521067784523,3.38063567319085,104.458184035012,1.60546143025947e-24,1.72354311845505e-20,105374476,SLC2A9-AS1
2.31717986575409,0.667260504083129,73.9469590595619,8.02444793206361e-18,5.74309738497793e-14,100419170,LOC100419170
-2.54276957587704,0.628059497522825,47.1703572798906,6.5077227313055696e-12,3.49318286909655e-08,105376591,LOC105376591
2.48464495063412,8.32988887637944,42.9484296428466,5.6201997042000897e-11,2.4134261569776e-07,4069,LYZ
-1.83554371301691,-0.326020730545557,39.6076590422179,3.10463315783991e-10,1.11099297553301e-06,9758,FRMPD4
-1.75555851406821,2.19958748618365,38.6719877314968,5.01352841327262e-10,1.53779240801966e-06,1548,CYP2A6
-1.13871470987991,5.16356463742367,37.724931283877,8.14568119081892e-10,2.18619901060091e-06,10990,LILRB5
-1.49669555219099,-0.141898739681312,36.5621609926439,1.4787452696431701e-09,3.52779329827872e-06,105378231,LOC105378231
-1.59437676106451,-0.527650372894664,36.1870118331248,1.7926131358748602e-09,3.5759337239255e-06,105372513,LOC105372513
-1.02546517878579,5.15412523991359,35.109988003141,3.11598465080222e-09,5.14640818749035e-06,6614,SIGLEC1
-1.26285395702468,0.488255992228262,34.9434225421447,3.39426077129528e-09,5.2055837871772e-06,102723603,CDC27P11
-1.00283066110129,0.450907321896384,34.4850666247763,4.2953415045575206e-09,6.14835182962363e-06,105369319,LINC02705
-1.09673141115685,1.4288686998301,34.1970019642026,4.98056249649535e-09,6.68360358514072e-06,2208,FCER2
-1.2164156320913,-0.766172040152734,33.4721668952585,7.2291138223254e-09,9.13037075759697e-06,107984023,LOC107984023
-1.54328830107483,0.0163572297074122,32.5109085919135,1.18525368284663e-08,1.33939904338947e-05,102724708,ARFGEF1-DT
1.09985920202573,1.5638519228403,30.783052616621,2.88546878554479e-08,2.69364783888835e-05,414149,ACBD7
-1.07357431542393,1.92468539041084,30.5170494541476,3.30945252865945e-08,2.73297135549412e-05,79168,LILRA6
-1.7117177677768,-0.459584127572853,30.3120504413106,3.67833561842653e-08,2.8379777215383e-05,114786,XKR4
-1.94723964614096,4.86140883159066,30.1675226489945,3.96290417465419e-08,2.8379777215383e-05,109864274,RNA5-8SN4
-1.94626591721866,4.43762504723322,30.1349324090475,4.03006165522088e-08,2.8379777215383e-05,109910381,RNA5-8SN3
-1.48592930572723,-0.115219879292348,30.1027513420483,4.09749473092485e-08,2.8379777215383e-05,107984747,LOC107984747
-1.54924300529002,0.280117799985527,29.9304551335902,4.47823263997079e-08,3.0047541566504e-05,107984313,LOC107984313
-1.94730053983928,2.87582743396292,29.8407248320109,4.69035373034699e-08,3.05171469528122e-05,109864281,RNA5-8SN2
-1.28715256512881,-0.68162222219809,29.7270941457213,4.97348224072271e-08,3.05783316812648e-05,102723663,LOC102723663
-1.24978909910385,0.338613390037214,29.7111334812457,5.01459917937877e-08,3.05783316812648e-05,101929730,LINC01352
-1.60771002444113,-0.522224519509014,29.6227478475457,5.24853616779878e-08,3.05783316812648e-05,729467,HSD52
-1.62246254339499,1.4666299007135,29.6150485123633,5.26942514185086e-08,3.05783316812648e-05,780854,SNORD3D
-1.1029708408455,0.494413428190881,29.5004898169432,5.5902572797992e-08,3.15864247512023e-05,107984494,LOC107984494
-1.1904526275607,0.0357420589943527,29.3387128090189,6.07694464174625e-08,3.26195196007334e-05,84631,SLITRK2
1.13776297862053,0.695011592122006,28.957282212983,7.39921246706987e-08,3.45366284522733e-05,658,BMPR1B
-1.5400711593147,1.50192578534213,28.3085273757044,1.03439310612958e-07,4.63143607776743e-05,26851,SNORD3B-1
1.21170802585525,0.0880960929147259,28.2541997130585,1.06383564090782e-07,4.6615540910065e-05,6557,SLC12A1
-1.34201186195701,0.0941999359830514,28.1143921543261,1.14352311341714e-07,4.81423230748616e-05,57528,KCTD16
-1.83894648151663,2.00481395940674,27.9659483371272,1.23469132256069e-07,4.9160461011586e-05,26870,RNU1-2
-1.52304372595706,1.11688140009537,27.9452352945682,1.24797878571439e-07,4.9160461011586e-05,51513,ETV7
-1.83036528756708,2.01292163501503,27.8780019245868,1.29210467355126e-07,4.9310944688289e-05,6060,RNU1-4
1.72081448995818,1.76112647198999,27.8527493791065,1.30907915198755e-07,4.9310944688289e-05,353189,SLCO4C1
-1.52001273249052,1.08669913173201,27.6016493609382,1.49051614819262e-07,5.19079888605622e-05,780852,SNORD3B-2
-1.9693459181712,0.648161567668005,27.227123394094,1.80902943452741e-07,6.06901109199033e-05,107984616,LOC107984616
-1.23273535545849,-0.734749008412799,27.1474951869386,1.88509281079243e-07,6.1325496576552e-05,405754,ERVFRD-1
-1.39284468829414,-0.677225630916046,26.7483942265706,2.31744227920566e-07,7.10825759668925e-05,9832,JAKMIP2
-1.32031085610249,0.102002209290932,26.5230302657976,2.60414968454832e-07,7.7657913717968e-05,2561,GABRB2
-1.00282193990914,-0.753077446120589,25.431126001108,4.58461036101508e-07,0.0001185977940498,56000,NXF3
-1.40763738193456,2.0188281406011,25.3704359671997,4.73113560540831e-07,0.0001205226267098,780851,SNORD3A
-1.67698288980054,2.02493532551811,24.3697730080188,7.95064589975197e-07,0.0001741921613403,26869,RNU1-3
-1.39228272893208,-0.769315649550369,24.1534774816458,8.89553931316389e-07,0.0001905388171673,107985661,LOC107985661
-1.62530144264483,2.0742720270097,24.1389317506989,8.96298287639345e-07,0.0001905388171673,26864,RNVU1-7
-1.62971761849163,2.40484224660723,24.0333459400534,9.46816539941447e-07,0.0001993048816576,26871,RNU1-1
-1.24662459037426,0.418209104010971,23.9252061439108,1.00151832978159e-06,0.0002087728161042,5367,PMCH
1.41765913177571,-0.556685682223068,23.7356361853785,1.10517102009607e-06,0.0002197141386341,105375161,LOC105375161
1.45639459781557,5.10447343738045,23.6635596453978,1.14734618782874e-06,0.0002209466102461,1734,DIO2
-1.30790621162241,1.87836854143401,23.2315491582829,1.43621748134053e-06,0.000261330724931,780853,SNORD3C
-1.13671174321566,3.07479870290653,23.1777576433216,1.47695777231412e-06,0.0002625230786685,8685,MARCO
-1.10843504148845,-0.766772630307891,23.0876965637902,1.54777941591881e-06,0.0002680029987031,388021,TMEM179
1.8683202669673,3.768397053677,23.015463912026,1.60703537197504e-06,0.0002694815016188,6947,TCN1
-1.02003917244435,-0.727297263224898,22.9912686489545,1.62738844965554e-06,0.0002694815016188,102723769,LOC102723769
-1.54922315392762,-0.258812415873337,22.9305547153841,1.67960683930434e-06,0.0002729777114166,105375470,LOC105375470
-1.42227538902422,-0.41853611948873,22.6102526732179,1.98422902387236e-06,0.0003063481543675,107984656,LOC107984656
-1.02897605913314,-0.32516657519128,22.0278724043615,2.68719728543382e-06,0.0003649216605576,493913,PAPPA-AS1
2.05041955578817,4.50783437542631,21.9929456598107,2.73654426524617e-06,0.0003649216605576,10563,CXCL13
1.53023042327117,2.6463720238204,21.9462435508578,2.80395196542393e-06,0.0003670954429854,28797,IGLV3-19
1.47200919091554,5.64215084885212,21.2186597445728,4.09755785278178e-06,0.0004887703592059,3500,IGHG1
1.33769600549908,2.28966157110864,21.0216079750578,4.54132662205431e-06,0.0005163010160623,28875,IGKV3D-15
-1.44099133508435,-0.404177940714037,20.9834757155958,4.63261803112458e-06,0.0005235102197172,105370846,LOC105370846
1.02928492699213,-0.0633057940958065,20.8385764897949,4.99663493308851e-06,0.0005364137432417,284215,DLGAP1-AS5
-1.07398325914033,-0.710645189571501,20.786087768425,5.13546672632932e-06,0.0005412522002262,284260,LINC00907
1.28362574536793,12.3931592205117,20.6258162007087,5.58380605822854e-06,0.0005710942975379,3906,LALBA
-1.2713329498158,0.453899556705484,20.5099565502242,5.93218727285675e-06,0.0005979811874906,105373682,LOC105373682
1.31854852690337,2.99444233698284,20.271036437473,6.72103688145609e-06,0.0006502898260113,28442,IGHV3-23
1.44106497749219,0.157462635375315,19.808434990175,8.56040728344138e-06,0.000762657696194,4314,MMP3
-1.45119609743206,0.684351758646772,19.7687700491368,8.73991237358086e-06,0.0007754324734427,6819,SULT1C2
-1.15154983977962,-0.320716451500635,19.7277700735909,8.92943244465673e-06,0.000783429223133,54716,SLC6A20
-1.38737370710306,-0.111445932064758,19.6992294741899,9.06379037069637e-06,0.0007910920449155,26834,RNU4-2
1.33634775186638,-0.736249194163786,19.4609998263144,1.026748224945e-05,0.000838224758091,105379031,LOC105379031
-1.15179016643294,1.74947220482054,19.2208950607454,1.16431971026886e-05,0.0008992485071648,105379524,LOC105379524
-1.00014575742974,-0.770304330943888,19.056033971977,1.26935777749021e-05,0.0009511181616924,102723446,LOC102723446
1.08714886071843,-0.471379728569903,19.0306047551537,1.28638605517495e-05,0.0009590276038424,105378969,LOC105378969
1.22982206277674,1.42680275926481,18.8827600459745,1.39003229278223e-05,0.0009879031277475,101927963,DENND3-AS1
-1.14159202329517,-0.997087235890633,18.6027065029688,1.60991824645487e-05,0.001080204833426,107986223,LOC107986223
1.05781540504843,0.315265353609724,18.5000279975805,1.69901803631608e-05,0.001115584595038,55872,PBK
1.28692185934992,-0.441333710934609,18.409624864719,1.78155818119429e-05,0.0011418458420424,6372,CXCL6
1.02133913496507,-0.339429444395001,18.0991470460405,2.0969534487268e-05,0.0012652544916987,57586,SYT13
-1.01221495243798,0.221864597124028,17.9145348892561,2.31049799439753e-05,0.0013407757415597,22989,MYH15
1.16755526868018,0.518501231025139,17.8821153175446,2.35019379446479e-05,0.0013528421169156,92196,DAPL1
-1.0415909892938,0.831610444948093,17.4262307080347,2.98675713590258e-05,0.0015629619803101,6262,RYR2
1.0110283735839,-0.793864484174612,17.417493706303,3.00051706760326e-05,0.0015636917951094,120939,TMEM52B
-1.01075869934553,-0.334624434499828,17.1392386170399,3.47371906346816e-05,0.0016989572212238,105370877,LOC105370877
1.06243345038912,1.3379010444522,16.9840532414491,3.76950933720282e-05,0.001788680324836,23566,LPAR3
-1.11212162930966,-0.666545529689774,16.9527816968262,3.83211284721048e-05,0.001788680324836,105376000,LOC105376000
1.02293654101787,-0.375095570945205,16.9377693145173,3.86253687378567e-05,0.0017989702650119,105378978,LOC105378978
1.20445667991043,3.08349149073664,16.8962946399009,3.94785728355939e-05,0.0018228912631248,28913,IGKV3-15
-1.00901413104365,0.0342288148133818,16.7324943738387,4.30375219017175e-05,0.0019339461338205,102724351,LOC102724351
-1.2464285838022,0.369150014896384,16.3876080971473,5.1621616998175e-05,0.0021304364601528,116085,SLC22A12
1.11004415789536,0.995584146251111,16.1469564500725,5.86126777430786e-05,0.0023072894399761,28877,IGKV3D-7
-1.01512731042287,3.13463022894029,16.0488079352445,6.17304775043546e-05,0.0023878943154747,3973,LHCGR
1.14811790936791,3.15523174786685,16.0455903771628,6.18354636208811e-05,0.0023878943154747,28874,IGKV3D-20
1.09887585811198,-0.886533264683619,16.0325674764641,6.22622270715893e-05,0.0023957567696309,105376442,LOC105376442
1.09181680319811,-0.198444817520502,15.9603067368292,6.46846251108343e-05,0.0024624886272246,10083,USH1C
-1.19780771920019,3.31194111260467,15.6209225560213,7.73934947144986e-05,0.0027381610313485,4982,TNFRSF11B
1.49932091986053,2.09432533488913,15.6205265598785,7.7409703601536e-05,0.0027381610313485,7031,TFF1
1.17077015433842,4.98854847115903,15.5628415743531,7.98077210231972e-05,0.0027727371813739,5744,PTHLH
1.36607942125209,1.1759392779983,15.5296004856973,8.12233830583461e-05,0.0028082886596549,4887,NPY2R
1.46954063313128,0.615739056885695,15.434343469448,8.54216811051369e-05,0.0029143516551161,84985,FAM83A
-1.16060797757276,1.31913309161151,15.4323325540831,8.5512623665556e-05,0.0029143516551161,6362,CCL18
1.02096258114819,0.322218694845817,15.3896946281825,8.74639991683224e-05,0.0029434788811019,28398,IGHV4-30-2
1.00950405638617,2.18100275321376,15.3566204781845,8.90084857031028e-05,0.0029807157105713,2045,EPHA7
1.24892831940745,-0.108420265331584,15.3439773648691,8.96061144033014e-05,0.0029807157105713,107987223,LOC107987223
1.53751862821828,6.02374805165895,15.2551751669292,9.3919061195052e-05,0.0030599941774187,2170,FABP3
1.21663778243466,0.590086398306539,15.196570460411,9.68792060857808e-05,0.0030981672081229,28451,IGHV3-9
-1.17440580332865,-0.634594840210173,15.0873504902223,0.0001026488355592,0.0032179655107125,116,ADCYAP1
1.24998036275431,0.580478391574995,15.0729272253361,0.0001034361740932,0.0032179655107125,100505875,LINC01088
1.08959239543921,0.103222472570234,15.0714281730117,0.0001035183523765,0.0032179655107125,388255,IGHV3OR16-8
1.09644607031604,2.13778893867468,15.0477506294627,0.0001048251091581,0.0032368054749321,28876,IGKV3D-11
1.18373320893258,3.1178757756838,15.0088657539702,0.0001070072758052,0.00328221888402,101929344,LINC01198
1.3965117565528,-0.121301893052554,14.892223079984,0.0001138312938415,0.0033775984349912,112267897,LOC112267897
1.16660802943858,1.28297128665655,14.7747644624128,0.0001211459287824,0.00352455858657,28468,IGHV1-18
1.09832467195273,4.28821415787766,14.6251442903924,0.0001311529342921,0.0037199268853207,28912,IGKV3-20
1.1451752695185,-0.723892356119526,14.5024240107263,0.0001399793054821,0.0038780589264599,102724638,LOC102724638
1.76027988955718,8.42160874480382,14.3421087208944,0.0001524172027678,0.0040694629218965,6696,SPP1
1.34565948850778,1.44526288324506,14.2179256425649,0.0001628121514564,0.004242402553302,646424,SPINK8
1.37779963227114,0.878304349147897,13.9299850890214,0.000189747228088,0.004688219487088,105372815,LOC105372815
1.03310027303662,-0.978858535291345,13.9033218950406,0.0001924580166858,0.0047171987171932,102725101,LOC102725101
1.09383582197353,1.11732263703301,13.8931799790827,0.0001934993354476,0.0047373138328364,810,CALML3
1.03163943121184,2.09824127454275,13.8322856328197,0.0001998721002168,0.0048171742814104,100132529,TAT-AS1
1.1638656410317,0.231811743317738,13.8248683541531,0.0002006626493447,0.0048246671266303,28426,IGHV3-43
1.10983090492802,3.46460153845934,13.8208022943516,0.0002010973545038,0.0048276859394714,28299,IGKV1-5
1.32795665371069,0.0474346991320525,13.4979247199161,0.0002388274359475,0.0053517391695856,100506013,APELA
1.3090011826102,1.42719420529873,13.4312381378318,0.0002474687308689,0.0054300244316231,112268117,LOC112268117
-1.09963203136905,4.81078251591918,13.373720994564,0.0002551745850412,0.0054929769366353,10345,TRDN
1.03592034858039,0.999563234447304,13.0467564864744,0.0003038100957496,0.0060963612764875,28915,IGKV3-7
1.04873370308844,-0.0516946762119792,13.0179443181179,0.0003085203039107,0.0061506401534518,28892,IGKV1D-42
1.07285907969576,3.03864939616936,13.0012617095342,0.0003112811619647,0.0061770035383959,3294,HSD17B2
1.6096760185019,3.47229237506822,12.8724835315939,0.0003334488018787,0.0064123203654298,58503,OPRPN
1.00790014975596,0.629537890489317,12.695340479224,0.0003665678498543,0.0067830316919081,102723169,IGHV1-69D
1.24177815749389,4.57439519055503,12.5664317618715,0.0003927377376671,0.0070153676917234,4585,MUC4
1.06068201512468,1.7411783264449,12.3869073712942,0.0004323547561081,0.0073975489169411,10942,PRSS21
1.02138976022695,4.76491505164712,12.1003120961417,0.0005041338401305,0.008143475477848,25928,SOSTDC1
1.02968588884469,-0.757868920135752,11.9256608601056,0.0005536598329226,0.0086581429516987,28455,IGHV2-26
1.1062379070356,5.39181515001227,11.7657196890422,0.0006033155116575,0.0091288142007035,6898,TAT
1.32395307214469,0.745445297850921,11.5053187928435,0.0006939732719013,0.0100069720110358,107985868,LOC107985868
1.03931956690403,3.26490334232248,11.2515299093538,0.000795574144986,0.0108116356027644,1360,CPB1
1.48573965377084,7.88481795044364,11.2440714904079,0.0007987774216332,0.01083966603775,7498,XDH
1.27831600284764,2.69153370712998,11.2090253722591,0.0008140046030045,0.0109508100445557,1591,CYP24A1
-1.27035510079063,0.210724856769233,11.1730078662096,0.0008299596324125,0.0110726376342681,9615,GDA
1.03893461452702,2.15057374430184,11.1480672403862,0.0008411926982658,0.0111146144150557,223075,ITPRID1
-1.05874959320947,0.603845069360048,10.8446860969138,0.000990796741058,0.012177101790073,101929814,LOC101929814
1.03156708871333,0.479157712866834,10.3997357889497,0.0012603334578653,0.0140126657841486,28473,IGHV1-3
1.20860996658606,0.526932231732573,10.32714034761,0.0013108815318238,0.0143382258633672,107985653,LOC107985653
1.71678865980488,9.95166580777044,9.67240214987794,0.0018705657825431,0.0177396521585118,1446,CSN1S1
1.01826396172361,10.2107240902088,9.66656844395675,0.0018765148796322,0.0177438393486504,4057,LTF
1.07138443658414,-0.781298719005656,9.52854053236234,0.0020230093269486,0.018634076902151,107986321,NPY2R-AS1
1.03472229844587,2.69376141797571,9.0333694603631,0.002650954007407,0.0218246294068391,28949,IGKJ2
1.28340100999782,5.06100895756517,8.89532169301276,0.002859022303355,0.0227535791067288,116285,ACSM1
1.28591926679651,2.15215015195498,8.69859591233126,0.0031845525777361,0.0242294572631374,8600,TNFSF11
1.00507467924793,1.1090080487607,8.48786421935506,0.0035752326807738,0.0259162123190061,105369844,LOC105369844
1.02704285082413,0.315763235897979,8.42029157205857,0.0037105628413101,0.0264331435851925,10321,CRISP3
1.03396938069523,1.25587236307195,8.05788710509177,0.0045305988285917,0.0296574656855772,7366,UGT2B15
1.1528644339148,0.727133362097829,7.76160340262388,0.0053368562211329,0.03285196098737,2069,EREG
1.40397953869774,5.166777023669,7.55321486334236,0.0059903109374255,0.0354148740954289,1057,CELP
1.09540017354887,-0.182455540571078,7.55309077985149,0.0059907234276278,0.0354148740954289,28772,IGLV10-54
1.37494675935453,7.10521972013813,7.32917179999714,0.0067844307945285,0.0382925060932002,1056,CEL
-1.21115113968211,1.39768634493374,6.96550902837373,0.0083095790077026,0.0434522578846527,29113,C6orf15
1.05214903859254,3.49250372551165,6.88626805815915,0.0086860425270236,0.0447626137621227,765,CA6
1.46066688597191,7.05471936206538,6.8239782776655,0.0089941994628922,0.0457826104941734,696,BTN1A1
1.06587946348297,1.55024444983764,6.72646990066221,0.0094992414250187,0.0472782134067171,7780,SLC30A2
